  phase   passband   delta    dm15       mag  
   12.0       desr   -0.34   +0.86   -19.115  
   13.0       desr   -0.34   +0.86   -19.044  
   14.0       desr   -0.34   +0.86   -18.982  
   15.0       desr   -0.34   +0.86   -18.937  
   16.0       desr   -0.34   +0.86   -18.916  
   17.0       desr   -0.34   +0.86   -18.895  
   18.0       desr   -0.34   +0.86   -18.877  
   19.0       desr   -0.34   +0.86   -18.868  
   20.0       desr   -0.34   +0.86   -18.860  
   21.0       desr   -0.34   +0.86   -18.844  
   22.0       desr   -0.34   +0.86   -18.826  
   23.0       desr   -0.34   +0.86   -18.811  
   24.0       desr   -0.34   +0.86   -18.800  
   25.0       desr   -0.34   +0.86   -18.789  
   26.0       desr   -0.34   +0.86   -18.776  
   27.0       desr   -0.34   +0.86   -18.759  
   28.0       desr   -0.34   +0.86   -18.737  
   29.0       desr   -0.34   +0.86   -18.708  
   30.0       desr   -0.34   +0.86   -18.671  
   31.0       desr   -0.34   +0.86   -18.627  
   32.0       desr   -0.34   +0.86   -18.575  
   33.0       desr   -0.34   +0.86   -18.517  
   34.0       desr   -0.34   +0.86   -18.457  
   35.0       desr   -0.34   +0.86   -18.395  
   36.0       desr   -0.34   +0.86   -18.331  
   37.0       desr   -0.34   +0.86   -18.268  
   38.0       desr   -0.34   +0.86   -18.206  
   39.0       desr   -0.34   +0.86   -18.149  
   40.0       desr   -0.34   +0.86   -18.096  
   41.0       desr   -0.34   +0.86   -18.049  
   42.0       desr   -0.34   +0.86   -18.004  
   43.0       desr   -0.34   +0.86   -17.963  
   44.0       desr   -0.34   +0.86   -17.923  
   45.0       desr   -0.34   +0.86   -17.884  
   46.0       desr   -0.34   +0.86   -17.847  
   47.0       desr   -0.34   +0.86   -17.809  
   48.0       desr   -0.34   +0.86   -17.773  
   49.0       desr   -0.34   +0.86   -17.736  
   50.0       desr   -0.34   +0.86   -17.699  
   51.0       desr   -0.34   +0.86   -17.663  
   52.0       desr   -0.34   +0.86   -17.629  
   53.0       desr   -0.34   +0.86   -17.596  
   54.0       desr   -0.34   +0.86   -17.567  
