  phase   passband   delta    dm15       mag  
   20.0       desr   -0.34   +0.86   -18.796  
   21.0       desr   -0.34   +0.86   -18.716  
   22.0       desr   -0.34   +0.86   -18.639  
   23.0       desr   -0.34   +0.86   -18.560  
   24.0       desr   -0.34   +0.86   -18.487  
   25.0       desr   -0.34   +0.86   -18.409  
   26.0       desr   -0.34   +0.86   -18.336  
   27.0       desr   -0.34   +0.86   -18.268  
   28.0       desr   -0.34   +0.86   -18.202  
   29.0       desr   -0.34   +0.86   -18.136  
   30.0       desr   -0.34   +0.86   -18.067  
   31.0       desr   -0.34   +0.86   -17.997  
   32.0       desr   -0.34   +0.86   -17.934  
   33.0       desr   -0.34   +0.86   -17.879  
   34.0       desr   -0.34   +0.86   -17.826  
   35.0       desr   -0.34   +0.86   -17.782  
   36.0       desr   -0.34   +0.86   -17.730  
   37.0       desr   -0.34   +0.86   -17.675  
   38.0       desr   -0.34   +0.86   -17.619  
   39.0       desr   -0.34   +0.86   -17.561  
   40.0       desr   -0.34   +0.86   -17.516  
   41.0       desr   -0.34   +0.86   -17.479  
   42.0       desr   -0.34   +0.86   -17.446  
   43.0       desr   -0.34   +0.86   -17.416  
   44.0       desr   -0.34   +0.86   -17.388  
   45.0       desr   -0.34   +0.86   -17.364  
   46.0       desr   -0.34   +0.86   -17.339  
   47.0       desr   -0.34   +0.86   -17.318  
   48.0       desr   -0.34   +0.86   -17.299  
   49.0       desr   -0.34   +0.86   -17.282  
   50.0       desr   -0.34   +0.86   -17.265  
   51.0       desr   -0.34   +0.86   -17.248  
   52.0       desr   -0.34   +0.86   -17.226  
   53.0       desr   -0.34   +0.86   -17.201  
   54.0       desr   -0.34   +0.86   -17.170  
   55.0       desr   -0.34   +0.86   -17.139  
   56.0       desr   -0.34   +0.86   -17.110  
   57.0       desr   -0.34   +0.86   -17.084  
   58.0       desr   -0.34   +0.86   -17.058  
   59.0       desr   -0.34   +0.86   -17.034  
   60.0       desr   -0.34   +0.86   -17.013  
   61.0       desr   -0.34   +0.86   -16.993  
   62.0       desr   -0.34   +0.86   -16.977  
   63.0       desr   -0.34   +0.86   -16.961  
   64.0       desr   -0.34   +0.86   -16.946  
   65.0       desr   -0.34   +0.86   -16.931  
   66.0       desr   -0.34   +0.86   -16.918  
   67.0       desr   -0.34   +0.86   -16.906  
   68.0       desr   -0.34   +0.86   -16.895  
   69.0       desr   -0.34   +0.86   -16.887  
   70.0       desr   -0.34   +0.86   -16.880  
   71.0       desr   -0.34   +0.86   -16.873  
   72.0       desr   -0.34   +0.86   -16.867  
   73.0       desr   -0.34   +0.86   -16.860  
   74.0       desr   -0.34   +0.86   -16.852  
   75.0       desr   -0.34   +0.86   -16.839  
   76.0       desr   -0.34   +0.86   -16.825  
   77.0       desr   -0.34   +0.86   -16.811  
   78.0       desr   -0.34   +0.86   -16.798  
   79.0       desr   -0.34   +0.86   -16.784  
   80.0       desr   -0.34   +0.86   -16.772  
  -15.0       desr   -0.32   +0.88   -17.331  
  -14.0       desr   -0.32   +0.88   -17.683  
  -13.0       desr   -0.32   +0.88   -18.040  
  -12.0       desr   -0.32   +0.88   -18.359  
  -11.0       desr   -0.32   +0.88   -18.611  
  -10.0       desr   -0.32   +0.88   -18.840  
   -9.0       desr   -0.32   +0.88   -19.058  
   -8.0       desr   -0.32   +0.88   -19.251  
   -7.0       desr   -0.32   +0.88   -19.382  
   -6.0       desr   -0.32   +0.88   -19.514  
   -5.0       desr   -0.32   +0.88   -19.622  
   -4.0       desr   -0.32   +0.88   -19.701  
   -3.0       desr   -0.32   +0.88   -19.736  
   -2.0       desr   -0.32   +0.88   -19.764  
   -1.0       desr   -0.32   +0.88   -19.779  
    0.0       desr   -0.32   +0.88   -19.793  
    1.0       desr   -0.32   +0.88   -19.793  
    2.0       desr   -0.32   +0.88   -19.781  
    3.0       desr   -0.32   +0.88   -19.755  
    4.0       desr   -0.32   +0.88   -19.732  
    5.0       desr   -0.32   +0.88   -19.704  
    6.0       desr   -0.32   +0.88   -19.671  
    7.0       desr   -0.32   +0.88   -19.626  
    8.0       desr   -0.32   +0.88   -19.578  
    9.0       desr   -0.32   +0.88   -19.519  
   10.0       desr   -0.32   +0.88   -19.444  
   11.0       desr   -0.32   +0.88   -19.366  
   12.0       desr   -0.32   +0.88   -19.305  
   13.0       desr   -0.32   +0.88   -19.263  
   14.0       desr   -0.32   +0.88   -19.221  
   15.0       desr   -0.32   +0.88   -19.163  
   16.0       desr   -0.32   +0.88   -19.095  
   17.0       desr   -0.32   +0.88   -19.017  
   18.0       desr   -0.32   +0.88   -18.936  
   19.0       desr   -0.32   +0.88   -18.853  
   20.0       desr   -0.32   +0.88   -18.768  
   21.0       desr   -0.32   +0.88   -18.686  
   22.0       desr   -0.32   +0.88   -18.609  
   23.0       desr   -0.32   +0.88   -18.528  
   24.0       desr   -0.32   +0.88   -18.454  
   25.0       desr   -0.32   +0.88   -18.375  
   26.0       desr   -0.32   +0.88   -18.301  
   27.0       desr   -0.32   +0.88   -18.232  
   28.0       desr   -0.32   +0.88   -18.166  
   29.0       desr   -0.32   +0.88   -18.099  
   30.0       desr   -0.32   +0.88   -18.030  
   31.0       desr   -0.32   +0.88   -17.960  
   32.0       desr   -0.32   +0.88   -17.897  
   33.0       desr   -0.32   +0.88   -17.842  
   34.0       desr   -0.32   +0.88   -17.790  
   35.0       desr   -0.32   +0.88   -17.746  
   36.0       desr   -0.32   +0.88   -17.694  
   37.0       desr   -0.32   +0.88   -17.641  
   38.0       desr   -0.32   +0.88   -17.584  
   39.0       desr   -0.32   +0.88   -17.526  
   40.0       desr   -0.32   +0.88   -17.481  
   41.0       desr   -0.32   +0.88   -17.444  
   42.0       desr   -0.32   +0.88   -17.411  
   43.0       desr   -0.32   +0.88   -17.382  
   44.0       desr   -0.32   +0.88   -17.354  
   45.0       desr   -0.32   +0.88   -17.330  
   46.0       desr   -0.32   +0.88   -17.304  
   47.0       desr   -0.32   +0.88   -17.284  
   48.0       desr   -0.32   +0.88   -17.265  
   49.0       desr   -0.32   +0.88   -17.247  
   50.0       desr   -0.32   +0.88   -17.231  
   51.0       desr   -0.32   +0.88   -17.213  
   52.0       desr   -0.32   +0.88   -17.192  
   53.0       desr   -0.32   +0.88   -17.166  
   54.0       desr   -0.32   +0.88   -17.135  
   55.0       desr   -0.32   +0.88   -17.105  
   56.0       desr   -0.32   +0.88   -17.076  
   57.0       desr   -0.32   +0.88   -17.050  
   58.0       desr   -0.32   +0.88   -17.025  
   59.0       desr   -0.32   +0.88   -17.002  
   60.0       desr   -0.32   +0.88   -16.981  
   61.0       desr   -0.32   +0.88   -16.961  
   62.0       desr   -0.32   +0.88   -16.945  
   63.0       desr   -0.32   +0.88   -16.930  
   64.0       desr   -0.32   +0.88   -16.914  
   65.0       desr   -0.32   +0.88   -16.900  
   66.0       desr   -0.32   +0.88   -16.886  
   67.0       desr   -0.32   +0.88   -16.874  
   68.0       desr   -0.32   +0.88   -16.864  
   69.0       desr   -0.32   +0.88   -16.856  
   70.0       desr   -0.32   +0.88   -16.849  
   71.0       desr   -0.32   +0.88   -16.842  
   72.0       desr   -0.32   +0.88   -16.836  
   73.0       desr   -0.32   +0.88   -16.829  
   74.0       desr   -0.32   +0.88   -16.821  
   75.0       desr   -0.32   +0.88   -16.808  
   76.0       desr   -0.32   +0.88   -16.794  
   77.0       desr   -0.32   +0.88   -16.780  
   78.0       desr   -0.32   +0.88   -16.766  
   79.0       desr   -0.32   +0.88   -16.753  
   80.0       desr   -0.32   +0.88   -16.740  
  -15.0       desr   -0.30   +0.89   -17.321  
  -14.0       desr   -0.30   +0.89   -17.672  
  -13.0       desr   -0.30   +0.89   -18.028  
  -12.0       desr   -0.30   +0.89   -18.345  
  -11.0       desr   -0.30   +0.89   -18.595  
  -10.0       desr   -0.30   +0.89   -18.822  
   -9.0       desr   -0.30   +0.89   -19.039  
   -8.0       desr   -0.30   +0.89   -19.232  
   -7.0       desr   -0.30   +0.89   -19.364  
   -6.0       desr   -0.30   +0.89   -19.497  
   -5.0       desr   -0.30   +0.89   -19.606  
   -4.0       desr   -0.30   +0.89   -19.685  
   -3.0       desr   -0.30   +0.89   -19.721  
   -2.0       desr   -0.30   +0.89   -19.749  
   -1.0       desr   -0.30   +0.89   -19.765  
    0.0       desr   -0.30   +0.89   -19.780  
    1.0       desr   -0.30   +0.89   -19.779  
    2.0       desr   -0.30   +0.89   -19.767  
    3.0       desr   -0.30   +0.89   -19.740  
    4.0       desr   -0.30   +0.89   -19.717  
    5.0       desr   -0.30   +0.89   -19.688  
    6.0       desr   -0.30   +0.89   -19.654  
    7.0       desr   -0.30   +0.89   -19.608  
    8.0       desr   -0.30   +0.89   -19.560  
    9.0       desr   -0.30   +0.89   -19.501  
   10.0       desr   -0.30   +0.89   -19.425  
   11.0       desr   -0.30   +0.89   -19.346  
   12.0       desr   -0.30   +0.89   -19.284  
   13.0       desr   -0.30   +0.89   -19.242  
   14.0       desr   -0.30   +0.89   -19.199  
   15.0       desr   -0.30   +0.89   -19.141  
   16.0       desr   -0.30   +0.89   -19.071  
   17.0       desr   -0.30   +0.89   -18.993  
   18.0       desr   -0.30   +0.89   -18.910  
   19.0       desr   -0.30   +0.89   -18.826  
   20.0       desr   -0.30   +0.89   -18.740  
   21.0       desr   -0.30   +0.89   -18.657  
   22.0       desr   -0.30   +0.89   -18.578  
   23.0       desr   -0.30   +0.89   -18.496  
   24.0       desr   -0.30   +0.89   -18.421  
   25.0       desr   -0.30   +0.89   -18.341  
   26.0       desr   -0.30   +0.89   -18.266  
   27.0       desr   -0.30   +0.89   -18.197  
   28.0       desr   -0.30   +0.89   -18.129  
   29.0       desr   -0.30   +0.89   -18.063  
   30.0       desr   -0.30   +0.89   -17.993  
   31.0       desr   -0.30   +0.89   -17.923  
   32.0       desr   -0.30   +0.89   -17.861  
   33.0       desr   -0.30   +0.89   -17.806  
   34.0       desr   -0.30   +0.89   -17.755  
   35.0       desr   -0.30   +0.89   -17.711  
   36.0       desr   -0.30   +0.89   -17.659  
   37.0       desr   -0.30   +0.89   -17.605  
   38.0       desr   -0.30   +0.89   -17.549  
   39.0       desr   -0.30   +0.89   -17.491  
   40.0       desr   -0.30   +0.89   -17.446  
   41.0       desr   -0.30   +0.89   -17.410  
   42.0       desr   -0.30   +0.89   -17.377  
   43.0       desr   -0.30   +0.89   -17.347  
   44.0       desr   -0.30   +0.89   -17.320  
   45.0       desr   -0.30   +0.89   -17.295  
   46.0       desr   -0.30   +0.89   -17.270  
   47.0       desr   -0.30   +0.89   -17.250  
   48.0       desr   -0.30   +0.89   -17.231  
   49.0       desr   -0.30   +0.89   -17.213  
   50.0       desr   -0.30   +0.89   -17.197  
   51.0       desr   -0.30   +0.89   -17.179  
   52.0       desr   -0.30   +0.89   -17.158  
   53.0       desr   -0.30   +0.89   -17.132  
   54.0       desr   -0.30   +0.89   -17.101  
   55.0       desr   -0.30   +0.89   -17.071  
   56.0       desr   -0.30   +0.89   -17.043  
   57.0       desr   -0.30   +0.89   -17.017  
   58.0       desr   -0.30   +0.89   -16.992  
   59.0       desr   -0.30   +0.89   -16.969  
   60.0       desr   -0.30   +0.89   -16.948  
   61.0       desr   -0.30   +0.89   -16.929  
   62.0       desr   -0.30   +0.89   -16.913  
   63.0       desr   -0.30   +0.89   -16.898  
   64.0       desr   -0.30   +0.89   -16.883  
   65.0       desr   -0.30   +0.89   -16.868  
   66.0       desr   -0.30   +0.89   -16.855  
   67.0       desr   -0.30   +0.89   -16.843  
   68.0       desr   -0.30   +0.89   -16.833  
   69.0       desr   -0.30   +0.89   -16.824  
   70.0       desr   -0.30   +0.89   -16.818  
   71.0       desr   -0.30   +0.89   -16.811  
   72.0       desr   -0.30   +0.89   -16.805  
   73.0       desr   -0.30   +0.89   -16.798  
   74.0       desr   -0.30   +0.89   -16.790  
   75.0       desr   -0.30   +0.89   -16.777  
   76.0       desr   -0.30   +0.89   -16.763  
   77.0       desr   -0.30   +0.89   -16.748  
   78.0       desr   -0.30   +0.89   -16.734  
   79.0       desr   -0.30   +0.89   -16.721  
   80.0       desr   -0.30   +0.89   -16.708  
