  phase   passband   delta    dm15       mag  
   52.0       desr   -0.34   +0.86   -17.474  
   53.0       desr   -0.34   +0.86   -17.436  
   54.0       desr   -0.34   +0.86   -17.398  
   55.0       desr   -0.34   +0.86   -17.360  
   56.0       desr   -0.34   +0.86   -17.320  
   57.0       desr   -0.34   +0.86   -17.275  
   58.0       desr   -0.34   +0.86   -17.227  
   59.0       desr   -0.34   +0.86   -17.187  
   60.0       desr   -0.34   +0.86   -17.149  
   61.0       desr   -0.34   +0.86   -17.111  
   62.0       desr   -0.34   +0.86   -17.077  
   63.0       desr   -0.34   +0.86   -17.044  
   64.0       desr   -0.34   +0.86   -17.012  
   65.0       desr   -0.34   +0.86   -16.981  
   66.0       desr   -0.34   +0.86   -16.949  
   67.0       desr   -0.34   +0.86   -16.914  
   68.0       desr   -0.34   +0.86   -16.877  
   69.0       desr   -0.34   +0.86   -16.839  
   70.0       desr   -0.34   +0.86   -16.802  
   71.0       desr   -0.34   +0.86   -16.764  
   72.0       desr   -0.34   +0.86   -16.725  
   73.0       desr   -0.34   +0.86   -16.688  
   74.0       desr   -0.34   +0.86   -16.651  
   75.0       desr   -0.34   +0.86   -16.610  
   76.0       desr   -0.34   +0.86   -16.569  
   77.0       desr   -0.34   +0.86   -16.527  
   78.0       desr   -0.34   +0.86   -16.484  
   79.0       desr   -0.34   +0.86   -16.441  
   80.0       desr   -0.34   +0.86   -16.396  
  -15.0       desr   -0.32   +0.88   -16.468  
  -14.0       desr   -0.32   +0.88   -16.782  
  -13.0       desr   -0.32   +0.88   -17.092  
  -12.0       desr   -0.32   +0.88   -17.398  
  -11.0       desr   -0.32   +0.88   -17.682  
  -10.0       desr   -0.32   +0.88   -17.964  
   -9.0       desr   -0.32   +0.88   -18.253  
   -8.0       desr   -0.32   +0.88   -18.518  
   -7.0       desr   -0.32   +0.88   -18.707  
   -6.0       desr   -0.32   +0.88   -18.834  
   -5.0       desr   -0.32   +0.88   -18.914  
   -4.0       desr   -0.32   +0.88   -18.958  
   -3.0       desr   -0.32   +0.88   -18.974  
   -2.0       desr   -0.32   +0.88   -18.959  
   -1.0       desr   -0.32   +0.88   -18.937  
    0.0       desr   -0.32   +0.88   -18.908  
    1.0       desr   -0.32   +0.88   -18.888  
    2.0       desr   -0.32   +0.88   -18.854  
    3.0       desr   -0.32   +0.88   -18.840  
    4.0       desr   -0.32   +0.88   -18.824  
    5.0       desr   -0.32   +0.88   -18.807  
    6.0       desr   -0.32   +0.88   -18.781  
    7.0       desr   -0.32   +0.88   -18.739  
    8.0       desr   -0.32   +0.88   -18.692  
    9.0       desr   -0.32   +0.88   -18.648  
   10.0       desr   -0.32   +0.88   -18.589  
   11.0       desr   -0.32   +0.88   -18.506  
   12.0       desr   -0.32   +0.88   -18.427  
   13.0       desr   -0.32   +0.88   -18.374  
   14.0       desr   -0.32   +0.88   -18.332  
   15.0       desr   -0.32   +0.88   -18.317  
   16.0       desr   -0.32   +0.88   -18.329  
   17.0       desr   -0.32   +0.88   -18.339  
   18.0       desr   -0.32   +0.88   -18.348  
   19.0       desr   -0.32   +0.88   -18.366  
   20.0       desr   -0.32   +0.88   -18.383  
   21.0       desr   -0.32   +0.88   -18.397  
   22.0       desr   -0.32   +0.88   -18.410  
   23.0       desr   -0.32   +0.88   -18.427  
   24.0       desr   -0.32   +0.88   -18.449  
   25.0       desr   -0.32   +0.88   -18.470  
   26.0       desr   -0.32   +0.88   -18.488  
   27.0       desr   -0.32   +0.88   -18.498  
   28.0       desr   -0.32   +0.88   -18.499  
   29.0       desr   -0.32   +0.88   -18.486  
   30.0       desr   -0.32   +0.88   -18.459  
   31.0       desr   -0.32   +0.88   -18.417  
   32.0       desr   -0.32   +0.88   -18.365  
   33.0       desr   -0.32   +0.88   -18.307  
   34.0       desr   -0.32   +0.88   -18.250  
   35.0       desr   -0.32   +0.88   -18.197  
   36.0       desr   -0.32   +0.88   -18.141  
   37.0       desr   -0.32   +0.88   -18.083  
   38.0       desr   -0.32   +0.88   -18.025  
   39.0       desr   -0.32   +0.88   -17.968  
   40.0       desr   -0.32   +0.88   -17.913  
   41.0       desr   -0.32   +0.88   -17.863  
   42.0       desr   -0.32   +0.88   -17.816  
   43.0       desr   -0.32   +0.88   -17.773  
   44.0       desr   -0.32   +0.88   -17.729  
   45.0       desr   -0.32   +0.88   -17.688  
   46.0       desr   -0.32   +0.88   -17.649  
   47.0       desr   -0.32   +0.88   -17.611  
   48.0       desr   -0.32   +0.88   -17.575  
   49.0       desr   -0.32   +0.88   -17.541  
   50.0       desr   -0.32   +0.88   -17.508  
   51.0       desr   -0.32   +0.88   -17.475  
   52.0       desr   -0.32   +0.88   -17.437  
   53.0       desr   -0.32   +0.88   -17.398  
   54.0       desr   -0.32   +0.88   -17.360  
   55.0       desr   -0.32   +0.88   -17.323  
   56.0       desr   -0.32   +0.88   -17.282  
   57.0       desr   -0.32   +0.88   -17.237  
   58.0       desr   -0.32   +0.88   -17.189  
   59.0       desr   -0.32   +0.88   -17.149  
   60.0       desr   -0.32   +0.88   -17.110  
   61.0       desr   -0.32   +0.88   -17.073  
   62.0       desr   -0.32   +0.88   -17.039  
   63.0       desr   -0.32   +0.88   -17.005  
   64.0       desr   -0.32   +0.88   -16.974  
   65.0       desr   -0.32   +0.88   -16.943  
   66.0       desr   -0.32   +0.88   -16.912  
   67.0       desr   -0.32   +0.88   -16.876  
   68.0       desr   -0.32   +0.88   -16.839  
   69.0       desr   -0.32   +0.88   -16.802  
   70.0       desr   -0.32   +0.88   -16.764  
   71.0       desr   -0.32   +0.88   -16.726  
   72.0       desr   -0.32   +0.88   -16.688  
