  phase   passband   delta    dm15       mag  
   62.0       desr   -0.34   +0.86   -16.978  
   63.0       desr   -0.34   +0.86   -16.963  
   64.0       desr   -0.34   +0.86   -16.941  
   65.0       desr   -0.34   +0.86   -16.916  
   66.0       desr   -0.34   +0.86   -16.882  
   67.0       desr   -0.34   +0.86   -16.835  
   68.0       desr   -0.34   +0.86   -16.778  
   69.0       desr   -0.34   +0.86   -16.725  
   70.0       desr   -0.34   +0.86   -16.671  
   71.0       desr   -0.34   +0.86   -16.617  
   72.0       desr   -0.34   +0.86   -16.566  
   73.0       desr   -0.34   +0.86   -16.513  
   74.0       desr   -0.34   +0.86   -16.467  
   75.0       desr   -0.34   +0.86   -16.426  
   76.0       desr   -0.34   +0.86   -16.384  
   77.0       desr   -0.34   +0.86   -16.343  
   78.0       desr   -0.34   +0.86   -16.302  
   79.0       desr   -0.34   +0.86   -16.261  
   80.0       desr   -0.34   +0.86   -16.227  
  -15.0       desr   -0.32   +0.88   -16.486  
  -14.0       desr   -0.32   +0.88   -16.698  
  -13.0       desr   -0.32   +0.88   -16.979  
  -12.0       desr   -0.32   +0.88   -17.281  
  -11.0       desr   -0.32   +0.88   -17.595  
  -10.0       desr   -0.32   +0.88   -17.832  
   -9.0       desr   -0.32   +0.88   -18.029  
   -8.0       desr   -0.32   +0.88   -18.240  
   -7.0       desr   -0.32   +0.88   -18.467  
   -6.0       desr   -0.32   +0.88   -18.692  
   -5.0       desr   -0.32   +0.88   -18.873  
   -4.0       desr   -0.32   +0.88   -18.976  
   -3.0       desr   -0.32   +0.88   -18.991  
   -2.0       desr   -0.32   +0.88   -18.962  
   -1.0       desr   -0.32   +0.88   -18.901  
    0.0       desr   -0.32   +0.88   -18.868  
    1.0       desr   -0.32   +0.88   -18.889  
    2.0       desr   -0.32   +0.88   -18.855  
    3.0       desr   -0.32   +0.88   -18.787  
    4.0       desr   -0.32   +0.88   -18.754  
    5.0       desr   -0.32   +0.88   -18.751  
    6.0       desr   -0.32   +0.88   -18.762  
    7.0       desr   -0.32   +0.88   -18.766  
    8.0       desr   -0.32   +0.88   -18.729  
    9.0       desr   -0.32   +0.88   -18.647  
   10.0       desr   -0.32   +0.88   -18.577  
   11.0       desr   -0.32   +0.88   -18.523  
   12.0       desr   -0.32   +0.88   -18.478  
   13.0       desr   -0.32   +0.88   -18.483  
   14.0       desr   -0.32   +0.88   -18.529  
   15.0       desr   -0.32   +0.88   -18.560  
   16.0       desr   -0.32   +0.88   -18.576  
   17.0       desr   -0.32   +0.88   -18.625  
   18.0       desr   -0.32   +0.88   -18.691  
   19.0       desr   -0.32   +0.88   -18.738  
   20.0       desr   -0.32   +0.88   -18.774  
   21.0       desr   -0.32   +0.88   -18.810  
   22.0       desr   -0.32   +0.88   -18.853  
   23.0       desr   -0.32   +0.88   -18.891  
   24.0       desr   -0.32   +0.88   -18.934  
   25.0       desr   -0.32   +0.88   -18.963  
   26.0       desr   -0.32   +0.88   -18.979  
   27.0       desr   -0.32   +0.88   -18.975  
   28.0       desr   -0.32   +0.88   -18.948  
   29.0       desr   -0.32   +0.88   -18.905  
   30.0       desr   -0.32   +0.88   -18.850  
   31.0       desr   -0.32   +0.88   -18.780  
   32.0       desr   -0.32   +0.88   -18.688  
   33.0       desr   -0.32   +0.88   -18.592  
   34.0       desr   -0.32   +0.88   -18.491  
   35.0       desr   -0.32   +0.88   -18.404  
   36.0       desr   -0.32   +0.88   -18.345  
   37.0       desr   -0.32   +0.88   -18.316  
   38.0       desr   -0.32   +0.88   -18.295  
   39.0       desr   -0.32   +0.88   -18.277  
   40.0       desr   -0.32   +0.88   -18.245  
   41.0       desr   -0.32   +0.88   -18.207  
   42.0       desr   -0.32   +0.88   -18.162  
   43.0       desr   -0.32   +0.88   -18.112  
   44.0       desr   -0.32   +0.88   -18.050  
   45.0       desr   -0.32   +0.88   -17.969  
   46.0       desr   -0.32   +0.88   -17.864  
   47.0       desr   -0.32   +0.88   -17.745  
   48.0       desr   -0.32   +0.88   -17.624  
   49.0       desr   -0.32   +0.88   -17.504  
   50.0       desr   -0.32   +0.88   -17.402  
   51.0       desr   -0.32   +0.88   -17.297  
   52.0       desr   -0.32   +0.88   -17.174  
   53.0       desr   -0.32   +0.88   -17.052  
   54.0       desr   -0.32   +0.88   -17.001  
   55.0       desr   -0.32   +0.88   -16.972  
   56.0       desr   -0.32   +0.88   -16.951  
   57.0       desr   -0.32   +0.88   -16.936  
   58.0       desr   -0.32   +0.88   -16.917  
   59.0       desr   -0.32   +0.88   -16.925  
   60.0       desr   -0.32   +0.88   -16.940  
   61.0       desr   -0.32   +0.88   -16.958  
   62.0       desr   -0.32   +0.88   -16.944  
   63.0       desr   -0.32   +0.88   -16.931  
   64.0       desr   -0.32   +0.88   -16.911  
   65.0       desr   -0.32   +0.88   -16.887  
   66.0       desr   -0.32   +0.88   -16.854  
   67.0       desr   -0.32   +0.88   -16.808  
   68.0       desr   -0.32   +0.88   -16.752  
   69.0       desr   -0.32   +0.88   -16.699  
   70.0       desr   -0.32   +0.88   -16.646  
   71.0       desr   -0.32   +0.88   -16.592  
   72.0       desr   -0.32   +0.88   -16.541  
   73.0       desr   -0.32   +0.88   -16.490  
   74.0       desr   -0.32   +0.88   -16.445  
   75.0       desr   -0.32   +0.88   -16.404  
   76.0       desr   -0.32   +0.88   -16.364  
   77.0       desr   -0.32   +0.88   -16.325  
   78.0       desr   -0.32   +0.88   -16.286  
   79.0       desr   -0.32   +0.88   -16.250  
   80.0       desr   -0.32   +0.88   -16.217  
  -15.0       desr   -0.30   +0.89   -16.476  
  -14.0       desr   -0.30   +0.89   -16.694  
  -13.0       desr   -0.30   +0.89   -16.976  
  -12.0       desr   -0.30   +0.89   -17.275  
  -11.0       desr   -0.30   +0.89   -17.585  
  -10.0       desr   -0.30   +0.89   -17.819  
   -9.0       desr   -0.30   +0.89   -18.016  
   -8.0       desr   -0.30   +0.89   -18.227  
