event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2016gkg,57651.25023148,18.43,0.18,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.25049746,18.34,0.08,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.25050926,18.23,0.14,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.25077546,18.51,0.15,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.25103009,18.32,0.14,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.540,15.940,0.130,F,o,,ATLAS,2016arXiv161106451A
SN2016gkg,57651.550,15.780,0.080,F,o,,ATLAS,2016arXiv161106451A
SN2016gkg,57652.0765,14.94,0.02,F,V,,Buso,2018Natur.554..497B
SN2016gkg,57652.0992,14.93,0.01,F,V,,Buso,2018Natur.554..497B
SN2016gkg,57652.1211,15.37,0.35,F,B,,Buso,2018Natur.554..497B
SN2016gkg,57652.1283,14.94,0.05,F,V,,Buso,2018Natur.554..497B
SN2016gkg,57652.1329,14.93,0.06,F,I,,Buso,2018Natur.554..497B
SN2016gkg,57652.1398148,14.5,0.2,F,C,,,Transient Name Server
SN2016gkg,57652.140,14.500,0.200,F,Clear,,Buso & Otero,2016arXiv161106451A
SN2016gkg,57652.1401,14.89,0.02,F,V,,Buso,2018Natur.554..497B
SN2016gkg,57652.299,15.010,0.040,F,V,,ASAS-SN,2016arXiv161106451A
SN2016gkg,57652.312,14.762,0.236,F,Clear,,Sanchez,2016arXiv161106451A
SN2016gkg,57652.3134,14.95,0.03,F,V,,Sánchez,2018Natur.554..497B
SN2016gkg,57652.406,14.794,0.074,F,Clear,,Nicholls,2016arXiv161106451A
SN2016gkg,57652.658,13.745,0.038,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.659,13.956,0.033,F,U,,Swift,2016arXiv161106451A
SN2016gkg,57652.660,15.183,0.039,F,B,,Swift,2016arXiv161106451A
SN2016gkg,57652.663,13.923,0.038,F,UVW2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.665,15.127,0.064,F,V,,Swift,2016arXiv161106451A
SN2016gkg,57652.6982,15.295,0.063,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57652.724,13.865,0.039,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.7244,13.869,0.045,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57652.7258,14.067,0.043,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57652.726,14.031,0.034,F,U,,Swift,2016arXiv161106451A
SN2016gkg,57652.7268,15.306,0.049,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57652.727,15.257,0.039,F,B,,Swift,2016arXiv161106451A
SN2016gkg,57652.7284,14.039,0.045,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57652.729,14.046,0.039,F,UVW2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.731,15.295,0.061,F,V,,Swift,2016arXiv161106451A
SN2016gkg,57652.7319,13.698,0.090,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57652.732,13.691,0.085,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.791,13.964,0.041,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.792,14.147,0.035,F,U,,Swift,2016arXiv161106451A
SN2016gkg,57652.793,15.315,0.040,F,B,,Swift,2016arXiv161106451A
SN2016gkg,57652.795,14.227,0.046,F,UVW2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57652.893,15.354,0.061,F,Clear,,Monard,2016arXiv161106451A
SN2016gkg,57652.927,15.410,0.062,F,g,,LCOGT,2016arXiv161106451A
SN2016gkg,57652.928,15.479,0.068,F,g,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.074,14.847,0.077,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.075,14.497,0.070,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.084,14.880,0.095,F,UVW2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.107,15.444,0.012,F,V,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.108,15.440,0.008,F,V,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.111,15.500,0.028,F,g,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.113,15.550,0.011,F,r,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.114,15.550,0.015,F,r,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.115,15.612,0.012,F,i,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.116,15.631,0.012,F,i,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.1172,14.984,0.090,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57653.125,14.891,0.062,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.126,14.789,0.065,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.128,15.700,0.040,F,B,,LCOGT,2016arXiv161106451A
